name,stackSize
A Dab of Ink,2
A Familiar Call,1
A Fate Worse than Death,2
A Mother's Parting Gift,15
A Sea of Blue,22
A Stone Perfected,2
Abandoned Wealth,4
Accumitisation,14
Alluring Bounty,3
Alone in the Darkness,30
Anarchy's Price,5
Arrogance of the Vaal,5
Assassin's Favour,44
Astral Projection,7
Atziri's Arsenal,6
Audacity,3
Azure Rage,14
Azyran's Reward,4
Baited Expectations,4
Bijoux,2
Blind Venture,11
Boon of Justice,20
Boon of the First Ones,3
Boundless Realms,23
Broken Truce,15
Brotherhood in Exile,1
"Brush, Paint and Palette",6
Buried Treasure,7
Call to the First Ones,13
Cameria's Cut,3
Cartographer's Delight,20
Chaotic Disposition,13
Chasing Risk,6
Checkmate,5
Costly Curio,3
Council of Cats,5
Coveted Possession,7
Cursed Words,12
Dark Dreams,3
Dark Temptation,23
Deadly Joy,1
Death,5
Deathly Designs,4
Dementophobia,1
Demigod's Wager,5
Desperate Crusade,2
Destined to Crumble,80
Dialla's Subjugation,12
Disdain,1
Divine Justice,3
Doedre's Madness,44
Doryani's Epiphany,1
Dying Anguish,16
Dying Light,1
Earth Drinker,8
Echoes of Love,2
Emperor of Purity,14
Emperor's Luck,79
Endless Night,3
Forbidden Power,16
From Bone to Ash,1
Further Invention,1
Gemcutter's Mercy,2
Gemcutter's Promise,21
Gift of Asenath,3
Gift of the Gemling Queen,10
Glimmer of Hope,34
Grave Knowledge,13
Guardian's Challenge,13
Harmony of Souls ,1
Her Mask,40
Heterochromia,8
Home,1
Hope,8
Hubris,24
Humility,27
Hunter's Resolve,25
Hunter's Reward,4
Immortal Resolve,5
Imperfect Memories,1
Imperial Legacy,36
Jack in the Box,11
Judging Voices,2
Justified Ambition,6
Lachrymal Necrosis,2
Lantador's Lost Love,50
Last Hope,29
Left to Fate,9
Light and Truth,4
Lingering Remnants,12
Lost Worlds,30
Love Through Ice,1
Loyalty,96
Lucky Connections,25
Lucky Deck,2
Luminous Trove,1
Lysah's Respite,18
Mawr Blaidd,2
Merciless Armament,2
Might is Right,16
Misery in Darkness,3
Mitts,27
Monochrome,4
More is Never Enough,4
No Traces,15
Parasitic Passengers,4
Peaceful Moments,4
Prejudice,20
Pride before the Fall,2
Pride of the First Ones,1
Prometheus' Armoury,2
Prosperity,31
Rain of Chaos,188
Rain Tempter,34
Rats,48
Rebirth,2
Rebirth and Renewal,3
Reckless Ambition,4
Remembrance,1
Sambodhi's Vow,31
Sambodhi's Wisdom,11
Scholar of the Seas,9
Seven Years Bad Luck,1
Shard of Fate,27
Silence and Frost,4
Society's Remorse,11
Something Dark,4
Struck by Lightning,31
Succor of the Sinless,1
Terrible Secret of Space,3
The Academic,2
The Admirer,7
The Adventuring Spirit,34
The Aesthet,20
The Apothecary,1
The Archmage's Right Hand,6
The Arena Champion,36
The Army of Blood,34
The Artist,1
The Aspirant,1
The Avenger,2
The Awakened,1
The Bargain,2
The Battle Born,23
The Bear Woman,7
The Beast,6
The Betrayal,15
The Bitter Blossom,1
The Blazing Fire,33
The Blessing of Moosh,9
The Body,15
The Brawny Battlemage,3
The Breach,2
The Brittle Emperor,2
The Cache,31
The Cacophany,1
The Calling,13
The Card Sharp,7
The Carrion Crow,61
The Cartographer,24
The Cataclysm,10
The Catalyst,56
The Celestial Justicar,7
The Celestial Stone,2
The Chains That Bind,38
The Chosen,2
The Coming Storm,11
The Conduit,6
The Craving,1
The Cursed King,4
The Damned,2
The Dapper Prodify,15
The Dark Mage,2
The Darkest Dream,4
The Deal,7
The Deceiver,13
The Deep Ones,2
The Demoness,30
The Destination,1
The Doppelganger,52
The Cragon,23
The Dreamer,4
The Dreamland,17
The Drunken Aristocrat,17
The Dungeon Master,4
The Easy Stroll,9
The Eldritch Decay,2
The Encroaching Darkness,5
The Endless Darkness,1
The Endurance,19
The Enforcer,1
The Enlightened,1
The Enthusiasts,2
The Escape,1
The Ethereal,3
