name,price,amount,weight
The Innocent,5.0,75,
The Magma Crab,5.0,44,
The Trial,3.0,182,
Tranquillity,11.0,77,
The Brittle Emperor,5.0,13,
The Tyrant,5.0,25,
Treasure Hunter,4.95,49,
Judging Voices,5.0,18,
Justified Ambition,8.0,34,
The Gulf,27.8,5,
The Prince of Darkness,5.0,14,
The Deep Ones,5.0,16,
Seven Years Bad Luck,200.0,5,
The Survivalist,5.0,170,
The Whiteout,4.4,34,
The Undisputed,5.0,5,
The Wolf's Legacy,4.71,74,
Demigod's Wager,5.0,45,
Remembrance,5.0,5,
The Destination,20.0,4,
The Scavenger,5.0,95,
Turn the Other Cheek,10.0,240,
Call to the First Ones,3.0,68,
The Cacophony,5.0,19,
Three Voices,3.0,255,
Unrequited Love,3442.7,2,
The Finishing Touch,4.0,0,
The Hale Heart,4.0,6,
The Valley of Steel Boxes,,0,
Forbidden Power,3.0,88,
The Aesthete,3.0,194,
The Last Supper,5.0,89,
Poisoned Faith,4.8,0,
The Lunaris Priestess,4.0,226,
Left to Fate,5.0,108,
The Ethereal,5.0,38,
The Greatest Intentions,55.0,0,
The Primordial,5.0,49,
The Sacrifice,15.0,6,
Glimmer of Hope,2.6,259,
The Siren,5.0,31,
The Thaumaturgist,5.0,17,
Underground Forest,11.4,79,
Vinia's Token,5.0,281,
"Brush, Paint and Palette",9.0,31,
The Twins,3.84,150,
The World Eater,9.0,5,
Wealth and Power,179.7,3,
Divine Beauty,119.8,0,
The Doppelganger,3.0,420,
The Realm,3.0,27,
Thunderous Skies,4.0,253,
Desecrated Virtue,75.0,7,
Emperor's Luck,1.96,713,
A Familiar Call,8.0,1,
The Fox,4.6,80,
The Visionary,3.0,237,
Winter's Embrace,10.0,5,
Abandoned Wealth,7.0,32,
The Gambler,2.0,157,
Thirst for Knowledge,4.0,196,
Costly Curio,5.0,29,
From Bone to Ashes,3.0,14,
The Coming Storm,4.53,89,
Dark Dreams,3.0,7,
The Explorer,3.73,214,
The Poet,4.0,72,
The Devastator,,0,
The Mayor,,0,
The Patient,41.93,44,
Monochrome,35.94,30,
The Mad King,4.29,0,
Boon of the First Ones,5.0,38,
Gemcutter's Promise,3.0,195,
The Gentleman,4.0,63,
Rain of Chaos,3.0,1376,
Soul Quenched,5.0,0,
A Modest Request,6.0,16,
The Sigil,2.68,210,
Doedre's Madness,2.0,294,
Gift of the Gemling Queen,4.0,80,
Lethean Temptation,5.0,9,
The Admirer,3.6,76,
The Web,3.0,225,
The Seeker,5.0,29,
Sambodhi's Vow,4.0,144,
Bowyer's Dream,4.3,13,
The Endurance,3.67,186,
Broken Promises,20.0,4,
Imperfect Memories,25.0,4,
Prosperity,2.0,292,
The Dapper Prodigy,5.0,96,
The Last One Standing,30.0,52,
The Messenger,5.0,58,
The Beast,5.0,76,
The Leviathan,5.0,2,
Brotherhood in Exile,4.0,20,
The Mind's Eyes,2.0,19,
The Obscured,5.0,27,
The Surgeon,5.0,153,
The Tireless Extractor,4.0,272,
The Cataclysm,3.81,88,
Void of the Elements,5.0,2,
Squandered Prosperity,,0,
Disdain,2.73,28,
Home,44.0,9,
The Chosen,199.92,21,
The Doctor,3398.28,0,
Blessing of God,,0,
The Price of Devotion,5108.53,0,
The Soul,119.0,25,
Scholar of the Seas,4.0,100,
Audacity,2.0,12,
Luck of the Vaal,,0,
The Fletcher,4.0,80,
The Price of Loyalty,355.38,4,
Lantador's Lost Love,1.59,367,
Mitts,3.0,192,
Succor of the Sinless,45.0,4,
A Dab of Ink,5.0,33,
Something Dark,8.0,26,
Lysah's Respite,4.0,76,
The Scout,10.0,15,
The Dark Mage,5.0,50,
Dark Temptation,4.0,251,
The Academic,9.0,19,
The Wretched,3.0,126,
Council of Cats,3.0,16,
The Jester,5.0,27,
Vanity,2.4,104,
The Porcupine,3.0,132,
The Formless Sea,5.0,91,
Emperor of Purity,5.0,71,
Lachrymal Necrosis,5.0,33,
Perfection,5.0,3,
The Enthusiasts,4.0,29,
The Sword King's Salute,3.0,328,
The Warden,2.6,255,
The Master Artisan,3.16,212,
Heterochromia,5.0,69,
The Wrath,4.9,226,
The Craving,5.0,27,
The Betrayal,3.6,112,
Baited Expectations,4.3,26,
Cartographer's Delight,3.0,154,
The Cache,3.8,197,
A Sea of Blue,5.0,219,
Volatile Power,2.0,183,
Merciless Armament,5.0,17,
Peaceful Moments,5.2,19,
The Calling,4.0,136,
Might is Right,3.0,118,
Divine Justice,5.0,21,
Last Hope,5.0,171,
Prejudice,5.0,80,
The Encroaching Darkness,2.4,52,
The Pact,5.0,25,
The Shieldbearer,599.7,3,
The Standoff,3.0,201,
The Tumbleweed,5.0,10,
The Sun,2.0,286,
Vile Power,5.0,0,
The Long Watch,,68,
The Incantation,4.0,63,
The Wolf's Shadow,2.0,148,
The Archmage's Right Hand,5.0,71,
Coveted Possession,7.4,126,
Hope,3.0,91,
The Immortal,710.75,5,
The Enlightened,59.9,7,
The Life Thief,4.93,10,
The Damned,10.0,5,
Buried Treasure,5.0,57,
The Demon,2887.43,2,
The Carrion Crow,3.0,413,
The Risk,4.0,175,
Assassin's Favour,2.07,229,
Desperate Crusade,4.0,10,
Struck by Lightning,3.0,160,
The Bargain,,21,
The Shortcut,9.0,12,
Society's Remorse,5.0,125,
Cameria's Cut,6.0,44,
The Cursed King,5.0,34,
The Deal,6.0,56,
The Eye of Terror,24.0,5,
Dementophobia,8.0,9,
The Price of Protection,4.0,62,
A Note in the Wind,5.0,0,
Fateful Meeting,8.0,3,
Choking Guilt,333.16,2,
More is Never Enough,4.0,37,
The Darkest Dream,4.3,25,
The Forsaken,4.0,93,
The Throne,4.0,13,
Chaotic Disposition,8.0,119,
Silence and Frost,8.0,26,
Brother's Stash,70.0,5,
Azure Rage,5.0,108,
The Stormcaller,4.0,175,
The Lord in Black,5.0,61,
Draped in Dreams,7.0,5,
The Astromancer,10.0,1,
The Battle Born,4.0,165,
Earth Drinker,4.4,63,
Loyalty,3.0,564,
Reckless Ambition,4.8,26,
The Card Sharp,5.0,51,
The Spoiled Prince,5.0,31,
The Sustenance,,0,
The Tower,4.0,183,
The Return of the Rat,2.0,0,
The Twilight Moon,5.0,27,
Duality,15.0,4,
Lucky Deck,5.0,19,
Keeper's Corruption,5.0,3,
Pride of the First Ones,5.0,15,
The Adventuring Spirit,3.0,220,
The Strategist,17.0,3,
The Drunken Aristocrat,4.0,97,
The Hive of Knowledge,5.0,2,
Atziri's Arsenal,5.0,71,
Rebirth,5.0,9,
The Enforcer,5.0,5,
The Fool,5.0,102,
The Dragon,3.0,190,
Endless Night,4.0,25,
Further Invention,7.0,2,
Haunting Shadows,5.0,25,
The Hook,10.0,3,
The Fishmonger,5.0,4,
Rain Tempter,5.0,278,
The Transformation,5.0,0,
The Wind,4.0,31,
Matryoshka,75.0,0,
The Dungeon Master,5.0,28,
The Wolf,3.0,170,
The Insane Cat,3287.23,0,
The Avenger,4.0,18,
Gemcutter's Mercy,40.0,13,
Darker Half,30.8,7,
The Lich,5.0,141,
The Mountain,4.0,157,
The Hermit,4.0,331,
Rats,3.0,360,
The Unexpected Prize,7.0,34,
The Feast,3.8,101,
The Wilted Rose,4.0,101,
Terrible Secret of Space,4.0,20,
Bijoux,5.0,16,
The Jeweller's Boon,6.0,121,
Eternal Bonds,41.4,6,
The Journalist,3.0,293,
Chasing Risk,4.0,25,
The Blazing Fire,2.13,282,
The Lover,2.0,918,
The Offspring,4.8,23,
The Road to Power,5.0,16,
House of Mirrors,7329.63,0,
The Union,5.0,146,
The Valkyrie,3.52,127,
Beauty Through Death,39.4,3,
The Breach,5.0,33,
Alone in the Darkness,5.0,186,
Ever-Changing,3.6,0,
The Endless Darkness,110.0,9,
The One With All,3.0,101,
The Fathomless Depths,4.0,68,
Man With Bear,5.0,0,
Treasures of the Vaal,,0,
The Flora's Gift,3.0,526,
Boundless Realms,4.0,173,
The Dreamland,5.0,88,
The Old Man,5.0,1,
The Vast,5.0,2,
Dying Light,3.0,4,
The Chains that Bind,1.0,234,
The Warlord,5.0,44,
The Cartographer,5.0,192,
Hunter's Reward,4.0,27,
The Awakened,7.0,0,
The Eldritch Decay,10.0,34,
The King's Heart,4.0,29,
The Wolven King's Bite,5.0,40,
Her Mask,1.85,239,
The Bones,5.0,36,
The Witch,3.0,332,
Friendship,,0,
Death,4.0,69,
Hubris,4.0,172,
The Blessing of Moosh,4.0,100,
The Rusted Bard,4.0,0,
The Rabbit's Foot,119.8,5,
Hunter's Resolve,3.33,225,
Akil's Prophecy,9.0,0,
The Rabid Rhoa,5.0,165,
The Mercenary,5.0,84,
The Rite of Elements,5.0,67,
The Traitor,5.0,51,
Lingering Remnants,1.11,81,
Brother's Gift,1154.97,0,
The Body,4.0,142,
The Scholar,3.0,702,
Jack in the Box,3.0,150,
Prometheus' Armoury,10.0,2,
The Wedding Gift,10.0,0,
Misery in Darkness,5.0,12,
The Pack Leader,4.0,77,
The Side Quest,5.0,41,
Gift of Asenath,9.0,12,
The Undaunted,5.0,52,
The Eye of the Dragon,10.2,126,
The Catch,5.0,6,
Checkmate,4.0,19,
Echoes of Love,3.0,35,
Humility,2.13,276,
Shard of Fate,5.0,177,
Rebirth and Renewal,10.0,11,
The Easy Stroll,5.0,80,
A Stone Perfected,5.0,18,
Magnum Opus,14.59,9,
Mawr Blaidd,10.0,23,
Altered Perception,6.0,5,
The Fox in the Brambles,5.0,38,
The Emptiness,4.0,7,
The Hoarder,4.0,105,
A Mother's Parting Gift,5.0,96,
The Army of Blood,3.68,217,
The Artist,47.92,8,
Lucky Connections,5.0,198,
The Journey,5.0,44,
A Chilling Wind,5.0,0,
Destined to Crumble,3.0,753,
The Arena Champion,4.0,293,
The Catalyst,3.0,450,
The Demoness,3.0,237,
Astral Protection,5.0,35,
The Eternal War,10.0,5,
The Landing,4.0,46,
The Harvester,3.0,357,
Light and Truth,3.0,33,
The Nurse,399.8,12,
The Oath,4.0,77,
Arrogance of the Vaal,4.6,44,
The King's Blade,2.0,674,
Guardian's Challenge,5.0,49,
The Fiend,2332.16,2,
The Ruthless Ceinture,4.0,101,
The Master,5.0,49,
Deathly Designs,5.0,30,
The Celestial Justicar,4.0,40,
Grave Knowledge,3.67,124,
The Garish Power,74.0,159,
The Gemcutter,3.0,412,
Anarchy's Price,5.0,46,
The Inventor,4.0,175,
The Surveyor,5.0,119,
Boon of Justice,3.0,231,
The Brawny Battle Mage,5.0,17,
The Escape,5.0,19,
The Tinkerer's Table,5.0,22,
A Fate Worse Than Death,52.0,7,
The Offering,5.0,35,
The Bitter Blossom,6.0,12,
A Dusty Memory,5.0,0,
The White Knight,5.0,5,
Sambodhi's Wisdom,4.6,47,
Etched in Blood,4.0,7,
The Deceiver,3.0,80,
Alluring Bounty,15.0,13,
Parasitic Passengers,4.2,40,
The Gladiator,2.4,173,
The Lion,4.0,153,
The Long Con,11.0,11,
The Insatiable,3.0,54,
The Skeleton,4.0,160,
Nook's Crown,6.0,1,
The Summoner,4.0,186,
The Bear Woman,5.0,37,
Acclimatisation,5.0,121,
The One That Got Away,5.0,1,
The Void,4.93,254,
The Watcher,4.0,121,
Time-Lost Relic,2.0,190,
Triskaidekaphobia,4.27,64,
Lost Worlds,3.6,243,
Dying Anguish,4.87,67,
Unchained,5.0,28,
The Dreamer,5.0,14,
Love Through Ice,310.95,0,
The Cheater,266.53,2,
Doryani's Epiphany,65.89,16,
Immortal Resolve,7.0,44,
The Professor,5.0,28,
Ambitious Obsession,5.0,8,
Deadly Joy,9.0,4,
No Traces,5.0,97,
Pride Before the Fall,5.0,14,
The Forward Gaze,4.0,45,
The Golden Era,4.6,56,
The Heroic Shot,5.6,64,
The Aspirant,9.0,4,
The Hunger,10.0,36,
The Price of Prescience,5.0,13,
The Scarred Meadow,3.6,377,
Luminous Trove,20.0,6,
Auspicious Ambitions,8.0,0,
Blind Venture,5.0,109,
Azyran's Reward,6.0,31,
The Lord of Celebration,4.8,39,
The Sephirot,185.69,25,
The Conduit,3.0,41,
The Shepherd's Sandals,5.0,19,
The Queen,4.8,11,
The Saint's Treasure,4.0,59,
The Polymath,7.0,16,
Broken Truce,3.6,67,
The Apothecary,8884.4,0,
The Celestial Stone,4.0,6,
The Dragon's Heart,77.87,5,
Imperial Legacy,1.0,268,
Dialla's Subjugation,3.04,74,
The Metalsmith's Gift,4.0,560,
Burning Blood,5.0,6,
Alivia's Grace,2.0,0,
Birth of the Three,,0,
Harmony of Souls,5.0,15,
The Inoculated,2.0,207,
The Opulent,4.6,290,
The Penitent,4.0,173,
The Puzzle,3.0,173,
The Forgotten Treasure,5.0,26,
The Spark and the Flame,4.0,39,
The Wolverine,4.0,73,
The Progeny of Lunaris,7.0,5,
The Samurai's Eye,63.0,11,
Three Faces in the Dark,4.0,446,
Cursed Words,2.0,122,
